Instance name,Episode name,Act,Chapter,Segment,Start Time (seconds),End Time (seconds),SKO minutes,Kdh000,Kdh%,Kta%
Series X,1,Act 1,Intro,Segment,0,,10,10000,10.0,15.0
Series X,1,Act 1,Body,Segment,600,,20,24000,12.0,17.0
Series X,1,Act 1,Advertisment,Segment,1800,,5,4500,9.0,13.0
Series X,1,Act 1,Body,Segment,2100,,20,28000,14.0,20.0
Series X,1,Act 1,Outro,Segment,3300,,5,6500,13.0,18.0
Series X,2,Act 2,Intro,Segment,0,,10,9000,9.0,14.0
Series X,2,Act 2,Body,Segment,600,,20,22000,11.0,16.0
Series X,2,Act 2,Advertisment,Segment,1800,,5,4250,8.5,12.0
Series X,2,Act 2,Body,Segment,2100,,20,26000,13.0,18.0
Series X,2,Act 2,Outro,Segment,3300,,5,6000,12.0,17.0
Series X,3,Act 2,Intro,Segment,0,,10,12000,12.0,16.0
Series X,3,Act 2,Body,Segment,600,,20,26000,13.0,18.0
Series X,3,Act 2,Advertisment,Segment,1800,,5,5000,10.0,14.0
Series X,3,Act 2,Body,Segment,2100,,20,31000,15.5,21.5
Series X,3,Act 2,Outro,Segment,3300,,5,7000,14.0,20.0
Series X,4,Act 3,Intro,Segment,0,,10,13000,13.0,17.0
Series X,4,Act 3,Body,Segment,600,,20,29000,14.5,20.5
Series X,4,Act 3,Advertisment,Segment,1800,,5,5250,10.5,15.0
Series X,4,Act 3,Body,Segment,2100,,20,30000,15.0,21.0
Series X,4,Act 3,Outro,Segment,3300,,5,7250,14.5,20.5
